Profiled Data Type;Concentrations ( mM );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Export Date;Thu Aug 03 15:46:49 WEST 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acetate;Alanine;Arginine;Aspartate;Benzoate;Choline;Creatine;Cysteine;Cytidine;Ethanol;Formate;Glutamate;Glutamine;Glutathione;Glycerol;Glycine;Guanosine;Hypoxanthine;Inosine;Isoleucine;Lactate;Leucine;Lysine;Methanol;Methionine;Nicotinurate;O-Phosphocholine;Phenylalanine;Proline;Pyroglutamate;Pyruvate;Serine;Succinate;Threonine;Tryptophan;Tyrosine;UDP-N-Acetylglucosamine;Uracil;Uridine;Valine
IL_PC9_301_aq;0.033;0.0351;;0.0233;;0.0135;0.0007;;;0.0092;0.4406;0.0263;0.0041;0.0053;0.0238;0.0482;0.0015;0.0221;0.002;0.0105;0.0907;0.0174;0.0184;0.0193;0.0075;;0.0077;0.0106;;0.0061;0.001;0.0365;0.001;0.0151;;0.0086;;0.0162;0.0083;0.0175
IL_PC9_401_aq;0.0478;0.0412;0.0184;0.0302;;0.0164;0.002;;;;0.0632;0.0503;;;0.0515;0.0689;;0.0236;;0.0191;0.0736;0.0285;0.0257;;0.0122;;0.0053;0.0143;;0.0069;0.0011;0.0621;0.0018;0.0287;;0.013;;0.027;0.0123;0.0292
IL_PC9_501_aq;0.1609;0.0205;;0.0145;0.0049;0.006;0.0009;;;;0.2252;0.0237;;0.0153;0.025;0.0302;0.0022;0.0115;0.007;0.0074;0.0414;0.0111;0.0089;0.0047;0.003;;0.0083;0.005;;0.0069;0.0009;0.0137;0.0032;0.0117;0.004;0.0045;0.0111;0.0067;0.0032;0.0091
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
